"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.40000000000E+009, -6.73854699501E-001, +0.00000000000E+000
+1.40100000000E+009, -6.69523875528E-001, +0.00000000000E+000
+1.40200000000E+009, -6.69728167834E-001, +0.00000000000E+000
+1.40300000000E+009, -6.64728828925E-001, +0.00000000000E+000
+1.40400000000E+009, -6.62974327200E-001, +0.00000000000E+000
+1.40500000000E+009, -6.62824512022E-001, +0.00000000000E+000
+1.40600000000E+009, -6.57672168957E-001, +0.00000000000E+000
+1.40700000000E+009, -6.56301814887E-001, +0.00000000000E+000
+1.40800000000E+009, -6.57756792331E-001, +0.00000000000E+000
+1.40900000000E+009, -6.54689513363E-001, +0.00000000000E+000
+1.41000000000E+009, -6.51753785500E-001, +0.00000000000E+000
+1.41100000000E+009, -6.51658965282E-001, +0.00000000000E+000
+1.41200000000E+009, -6.44579748945E-001, +0.00000000000E+000
+1.41300000000E+009, -6.45907724361E-001, +0.00000000000E+000
+1.41400000000E+009, -6.42720038890E-001, +0.00000000000E+000
+1.41500000000E+009, -6.35753687331E-001, +0.00000000000E+000
+1.41600000000E+009, -6.36686502528E-001, +0.00000000000E+000
+1.41700000000E+009, -6.34910115249E-001, +0.00000000000E+000
+1.41800000000E+009, -6.37547210257E-001, +0.00000000000E+000
+1.41900000000E+009, -6.30288568194E-001, +0.00000000000E+000
+1.42000000000E+009, -6.32662324582E-001, +0.00000000000E+000
+1.42100000000E+009, -6.30268954820E-001, +0.00000000000E+000
+1.42200000000E+009, -6.27325569840E-001, +0.00000000000E+000
+1.42300000000E+009, -6.27336064788E-001, +0.00000000000E+000
+1.42400000000E+009, -6.27016987226E-001, +0.00000000000E+000
+1.42500000000E+009, -6.26702173360E-001, +0.00000000000E+000
+1.42600000000E+009, -6.27103355008E-001, +0.00000000000E+000
+1.42700000000E+009, -6.21850372286E-001, +0.00000000000E+000
+1.42800000000E+009, -6.22566442268E-001, +0.00000000000E+000
+1.42900000000E+009, -6.21817950390E-001, +0.00000000000E+000
+1.43000000000E+009, -6.21479399871E-001, +0.00000000000E+000
+1.43100000000E+009, -6.17903293212E-001, +0.00000000000E+000
+1.43200000000E+009, -6.15772762313E-001, +0.00000000000E+000
+1.43300000000E+009, -6.15192007363E-001, +0.00000000000E+000
+1.43400000000E+009, -6.12512466523E-001, +0.00000000000E+000
+1.43500000000E+009, -6.13117694337E-001, +0.00000000000E+000
+1.43600000000E+009, -6.10076351454E-001, +0.00000000000E+000
+1.43700000000E+009, -6.14061132921E-001, +0.00000000000E+000
+1.43800000000E+009, -6.07602294020E-001, +0.00000000000E+000
+1.43900000000E+009, -6.10838185896E-001, +0.00000000000E+000
+1.44000000000E+009, -6.03606298066E-001, +0.00000000000E+000
+1.44100000000E+009, -6.03743226122E-001, +0.00000000000E+000
+1.44200000000E+009, -6.00613462005E-001, +0.00000000000E+000
+1.44300000000E+009, -5.95621304402E-001, +0.00000000000E+000
+1.44400000000E+009, -5.95320295386E-001, +0.00000000000E+000
+1.44500000000E+009, -5.95302099988E-001, +0.00000000000E+000
+1.44600000000E+009, -5.92320499352E-001, +0.00000000000E+000
+1.44700000000E+009, -5.95544417726E-001, +0.00000000000E+000
+1.44800000000E+009, -5.95501476817E-001, +0.00000000000E+000
+1.44900000000E+009, -5.92340974252E-001, +0.00000000000E+000
+1.45000000000E+009, -5.88532650853E-001, +0.00000000000E+000
+1.45100000000E+009, -5.95281580008E-001, +0.00000000000E+000
+1.45200000000E+009, -5.92273834503E-001, +0.00000000000E+000
+1.45300000000E+009, -5.92175621149E-001, +0.00000000000E+000
+1.45400000000E+009, -5.90393473696E-001, +0.00000000000E+000
+1.45500000000E+009, -5.92767327221E-001, +0.00000000000E+000
+1.45600000000E+009, -5.90084564366E-001, +0.00000000000E+000
+1.45700000000E+009, -5.86615656465E-001, +0.00000000000E+000
+1.45800000000E+009, -5.92452070148E-001, +0.00000000000E+000
+1.45900000000E+009, -5.89553926593E-001, +0.00000000000E+000
+1.46000000000E+009, -5.93212920457E-001, +0.00000000000E+000
+1.46100000000E+009, -5.93159220413E-001, +0.00000000000E+000
+1.46200000000E+009, -5.92505094284E-001, +0.00000000000E+000
+1.46300000000E+009, -5.90459405280E-001, +0.00000000000E+000
+1.46400000000E+009, -5.89686088743E-001, +0.00000000000E+000
+1.46500000000E+009, -5.91814506294E-001, +0.00000000000E+000
+1.46600000000E+009, -5.90302768837E-001, +0.00000000000E+000
+1.46700000000E+009, -5.95447825480E-001, +0.00000000000E+000
+1.46800000000E+009, -5.93927662780E-001, +0.00000000000E+000
+1.46900000000E+009, -5.90667781214E-001, +0.00000000000E+000
+1.47000000000E+009, -5.95946920705E-001, +0.00000000000E+000
+1.47100000000E+009, -5.97335492519E-001, +0.00000000000E+000
+1.47200000000E+009, -5.95487529454E-001, +0.00000000000E+000
+1.47300000000E+009, -5.96308574758E-001, +0.00000000000E+000
+1.47400000000E+009, -5.95011518482E-001, +0.00000000000E+000
+1.47500000000E+009, -5.97671296655E-001, +0.00000000000E+000
+1.47600000000E+009, -5.95156340892E-001, +0.00000000000E+000
+1.47700000000E+009, -5.93233541286E-001, +0.00000000000E+000
+1.47800000000E+009, -5.94300673298E-001, +0.00000000000E+000
+1.47900000000E+009, -5.97913001277E-001, +0.00000000000E+000
+1.48000000000E+009, -5.92556875440E-001, +0.00000000000E+000
+1.48100000000E+009, -5.98152507720E-001, +0.00000000000E+000
