"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.40000000000E+009, -4.33397959383E-001, +0.00000000000E+000
+1.40100000000E+009, -4.33546357091E-001, +0.00000000000E+000
+1.40200000000E+009, -4.36044621467E-001, +0.00000000000E+000
+1.40300000000E+009, -4.37625406041E-001, +0.00000000000E+000
+1.40400000000E+009, -4.38933200127E-001, +0.00000000000E+000
+1.40500000000E+009, -4.39929335402E-001, +0.00000000000E+000
+1.40600000000E+009, -4.37335628915E-001, +0.00000000000E+000
+1.40700000000E+009, -4.40806765230E-001, +0.00000000000E+000
+1.40800000000E+009, -4.44204584804E-001, +0.00000000000E+000
+1.40900000000E+009, -4.43211910541E-001, +0.00000000000E+000
+1.41000000000E+009, -4.43845955173E-001, +0.00000000000E+000
+1.41100000000E+009, -4.44694725029E-001, +0.00000000000E+000
+1.41200000000E+009, -4.40905535977E-001, +0.00000000000E+000
+1.41300000000E+009, -4.46758707117E-001, +0.00000000000E+000
+1.41400000000E+009, -4.42813865098E-001, +0.00000000000E+000
+1.41500000000E+009, -4.42032677776E-001, +0.00000000000E+000
+1.41600000000E+009, -4.45547933414E-001, +0.00000000000E+000
+1.41700000000E+009, -4.48964409407E-001, +0.00000000000E+000
+1.41800000000E+009, -4.53971563027E-001, +0.00000000000E+000
+1.41900000000E+009, -4.50184344911E-001, +0.00000000000E+000
+1.42000000000E+009, -4.56339828448E-001, +0.00000000000E+000
+1.42100000000E+009, -4.55625894202E-001, +0.00000000000E+000
+1.42200000000E+009, -4.56645743298E-001, +0.00000000000E+000
+1.42300000000E+009, -4.56521935847E-001, +0.00000000000E+000
+1.42400000000E+009, -4.56280261725E-001, +0.00000000000E+000
+1.42500000000E+009, -4.60509340436E-001, +0.00000000000E+000
+1.42600000000E+009, -4.58630275485E-001, +0.00000000000E+000
+1.42700000000E+009, -4.60119490349E-001, +0.00000000000E+000
+1.42800000000E+009, -4.62629834737E-001, +0.00000000000E+000
+1.42900000000E+009, -4.62534515104E-001, +0.00000000000E+000
+1.43000000000E+009, -4.64238815965E-001, +0.00000000000E+000
